,Rain_May,Rain_Jun,Rain_Jul,Rain_Aug,Rain_Sep,Time,Prev_Max,AMO,IPO,SOI,Depth_min
0,8.279870275673721,5.450394711403578,2.4993719074137384,3.560270444208194,5.088871580419159,1981,26.86,-0.07675,-0.15875,8.575,17.24
1,8.897168239237862,4.970935512515808,3.6786980486558787,3.468860612671343,5.840153022598913,1982,28.97,-0.2575,0.9385000000000001,-21.1,18.28
2,7.571788328763381,4.42043147268081,2.7359384748990183,3.065467576052879,4.609912497765446,1983,26.52,-0.11075,0.92675,-0.17499999999999982,17.08
3,8.453167696424636,6.563012173580375,3.6039760206132323,3.7057683269631987,6.858580699018896,1984,28.03,-0.2565,-0.30025,-0.44999999999999973,19.58
4,8.928248108375277,6.170062506405218,4.70224548616032,4.424287697077782,5.993275031198295,1985,26.27,-0.20274999999999999,-0.25,-0.7999999999999996,19.74
5,9.26350741161355,7.224981100613273,4.695091611924715,4.127095499054405,7.276731570226798,1986,28.14,-0.251,0.4015000000000001,0.02499999999999969,21.4
6,7.044877771214108,5.135148214708076,3.625362773930097,3.0711101681253474,5.262603166383051,1987,27.91,0.23825000000000002,1.423,-15.975000000000001,17.99
7,9.764368508661684,6.077063008740165,2.9240120026280936,2.658672663266686,4.917622336580691,1988,27.78,0.03925,-0.9285000000000001,10.600000000000001,17.82
8,10.502892956248429,8.715700843129365,3.5572234902754007,4.616539449335902,5.578545843528592,1989,29.42,0.067,-0.4515,4.05,19.55
9,7.495638285611652,6.627536741083931,3.241137065991193,3.2628464805795536,4.726205209638219,1990,28.23,0.0255,0.028,-1.525,16.32
10,7.886108023123332,6.261652111289076,3.344661945757341,2.250781639719443,4.917252052619197,1991,28.06,-0.10149999999999999,0.4675,-7.8500000000000005,16.07
11,7.335758002130148,4.761445730006496,3.234856850565649,3.703823753367465,5.7503855916676025,1992,25.42,-0.2865,0.7232500000000001,-4.375000000000001,17.56
12,8.842619399525578,5.702037747929706,3.676839842044445,3.8620477747286603,6.069263513551772,1993,28.76,-0.22025,0.799,-12.1,19.47
13,10.821971498461481,7.016022322478199,3.150823052891852,3.4597296217482416,6.308098760555564,1994,29.05,-0.218,0.3985,-15.7,19.06
14,7.680766999823469,5.1277649322740215,2.863366149827999,2.1668989170812742,4.511748725623671,1995,27.16,0.22,0.11225,1.675,15.06
15,8.78838930715199,6.723630460444565,2.786202464829727,4.260279163742087,5.373195289345775,1996,28.53,-0.06825,-0.17175,8.049999999999999,19.15
16,7.551068426510995,4.660385615560231,2.1339624685218,3.0058052235390296,4.006142167976992,1997,28.96,0.03925,1.46,-17.05,14.34
17,7.677378092003688,4.84810283782806,2.943649906766527,3.070356213423952,4.57735710241424,1998,27.58,0.46599999999999997,-0.44300000000000006,11.35,15.03
18,8.278740889999828,6.337346627255658,3.24705142853706,2.903791945199817,6.070525340899116,1999,29.3,0.20849999999999996,-1.1395,1.875,16.95
19,9.43419684892959,5.990343145334276,4.199516505866168,4.078760125437636,6.561735141010004,2000,28.62,0.0555,-0.8180000000000001,1.5000000000000002,18.57
20,8.457012125482171,5.299393000183169,4.11565733692281,2.462950995325484,5.621381837470209,2001,28.21,0.19,-0.4775,-2.175,16.81
21,9.185763871960264,5.007402039602223,4.127028108187137,3.9940103587740743,4.755066538727593,2002,28.91,-0.0085,0.236,-9.175,17.19
22,9.407293478302911,7.259694667487397,3.1744993633593275,3.96184491797373,5.322327594195316,2003,28.27,0.32775,-0.006250000000000002,-3.2750000000000004,19.01
23,9.031107905918025,5.9944706063594,4.383372417160376,3.8622487698254586,5.836956264236589,2004,27.13,0.231,-0.021250000000000005,-8.125,19.23
24,8.392994689526175,4.199341694389911,2.243533903120712,2.6544410518517645,4.1536595000113365,2005,28.1,0.39825,-0.27025,0.12499999999999989,14.75
25,7.127360451827658,5.852972375171128,3.4840688638500747,3.494124354938459,4.9576980166792115,2006,28.84,0.35824999999999996,0.21425,-8.899999999999999,16.89
26,8.606601499271894,5.362538526896708,3.4560627584260226,2.926536249456058,5.388975055443053,2007,28.18,0.08274999999999999,-0.5105,1.025,17.74
27,8.754508177514023,5.342299787815311,3.0643852311935844,3.223261986632705,5.6780450335161525,2008,28.62,0.199,-0.48424999999999996,7.25,18.43
28,8.025704302136123,6.144394611591457,3.289977931488161,3.5054418787229698,4.222007739199315,2009,29.77,0.13,0.38049999999999995,-0.44999999999999984,15.86
29,6.188495964228872,4.9169938521103065,2.536694164520644,2.3341406127858217,4.112627318347365,2010,27.96,0.458,-1.26425,16.5,13.63
30,8.303691031344265,5.740370256859695,2.8708385945354244,2.7783612817017644,5.691235872437188,2011,28.62,0.13025,-0.97725,6.174999999999999,16.76
31,7.407068907981788,4.990454776845247,3.16033463695077,2.6642624299384936,4.900814078886013,2012,29.97,0.3785,-0.11175,-3.6250000000000004,15.96
32,9.723360251148883,5.802147348566765,4.195078058304899,4.453610556999978,6.095042544453165,2013,29.33,0.16125,-0.7985,6.35,18.83
33,12.609507285576234,6.57020331879359,3.283844815794469,4.1950967986361265,4.722774021699386,2014,29.5,0.22175,-0.09624999999999999,-5.875,19.9
34,7.340278019340766,4.98877551524596,2.8277456131875005,3.3073629494056336,3.142422720517309,2015,29.66,0.14875,1.10725,-16.075,15.92
35,7.842853579772132,5.822197225195104,3.4272823864353463,3.4749571765984695,5.376444497602362,2016,27.19,0.428,-0.31575,7.2,17.2
36,8.224421554321912,5.31704435457426,2.2498485579946386,3.676726962199309,6.352708707939742,2017,29.0,0.3065,-0.38049999999999995,1.9749999999999999,17.34
